HSCode,Commodity,value,country,year
79,ZINC AND ARTICLES THEREOF.,10.45,U S A,2011
80,TIN AND ARTICLES THEREOF.,0.32,U S A,2011
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,28.4,U S A,2011
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",71.01,U S A,2011
83,MISCELLANEOUS ARTICLES OF BASE METAL.,32.22,U S A,2011
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",3105.06,U S A,2011
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",1553.32,U S A,2011
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",77.62,U S A,2011
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",220.11,U S A,2011
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",1526.85,U S A,2011
89,"SHIPS, BOATS AND FLOATING STRUCTURES.",127.57,U S A,2011
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",1370.57,U S A,2011
91,CLOCKS AND WATCHES AND PARTS THEREOF.,2.51,U S A,2011
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,2.34,U S A,2011
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,0.98,U S A,2011
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",36.54,U S A,2011
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",20.61,U S A,2011
96,MISCELLANEOUS MANUFACTURED ARTICLES.,26.71,U S A,2011
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,12.13,U S A,2011
98,PROJECT GOODS; SOME SPECIAL USES.,356.26,U S A,2011
99,MISCELLANEOUS GOODS.,2025.16,U S A,2011
1,LIVE ANIMALS.,3.53,U S A,2012
2,MEAT AND EDIBLE MEAT OFFAL.,,U S A,2012
3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",4.62,U S A,2012
4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",4.91,U S A,2012
5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",5.88,U S A,2012
6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.31,U S A,2012
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,103.01,U S A,2012
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,467.47,U S A,2012
9,"COFFEE, TEA, MATE AND SPICES.",1.34,U S A,2012
10,CEREALS.,0.44,U S A,2012
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.97,U S A,2012
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",9.27,U S A,2012
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",19.02,U S A,2012
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0,U S A,2012
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,99.29,U S A,2012
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.02,U S A,2012
17,SUGARS AND SUGAR CONFECTIONERY.,13.56,U S A,2012
18,COCOA AND COCOA PREPARATIONS.,0.79,U S A,2012
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",1.59,U S A,2012
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",15.85,U S A,2012
21,MISCELLANEOUS EDIBLE PREPARATIONS.,34.88,U S A,2012
22,"BEVERAGES, SPIRITS AND VINEGAR.",6.62,U S A,2012
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,18.43,U S A,2012
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.37,U S A,2012
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",22.66,U S A,2012
26,"ORES, SLAG AND ASH.",109.9,U S A,2012
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2046.14,U S A,2012
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",477.06,U S A,2012
29,ORGANIC CHEMICALS,946.73,U S A,2012
30,PHARMACEUTICAL PRODUCTS,249.59,U S A,2012
